NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
ANCASH,YUNGAY,YUNGAY,Lluvioso con oto
ANCASH,HUAYLAS,HUATA,Lluvioso con oto
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,Lluvioso con oto
ANCASH,ANTONIO RAYMONDI,CHACCHO,Lluvioso con oto
ANCASH,HUAYLAS,CARAZ,Lluvioso con oto
ANCASH,POMABAMBA,PAROBAMBA,Lluvioso con oto
ANCASH,RECUAY,RECUAY,Lluvioso con oto
CAJAMARCA,CAJAMARCA,CHETILLA,Lluvioso con oto
CAJAMARCA,CELENDIN,JORGE CHAVEZ,Lluvioso con oto
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,Semiseco con invierno y primavera secos. Templado.
ANCASH,BOLOGNESI,CAJACAY,Lluvioso con oto
ANCASH,HUARAZ,LA LIBERTAD,Lluvioso con oto
ANCASH,HUARAZ,COLCABAMBA,Semiseco con invierno seco. Templado.
ANCASH,HUARAZ,OLLEROS,Lluvioso con oto
HUANUCO,MARAÑON,HUACRACHUCO,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,CORONGO,ACO,Lluvioso con oto
CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Semiseco con oto
APURIMAC,ANDAHUAYLAS,HUANCARAMA,Semiseco con humedad abundante todas las estaciones del a
ANCASH,ASUNCION,ACOCHACA,Lluvioso con oto
ANCASH,SIHUAS,SIHUAS,Lluvioso con oto
ANCASH,PALLASCA,LLAPO,Lluvioso con oto
ANCASH,BOLOGNESI,AQUIA,Lluvioso con oto
ANCASH,AIJA,LA MERCED,Lluvioso con oto
ANCASH,HUARAZ,PIRA,Lluvioso con oto
ANCASH,HUARAZ,PARIACOTO,Semiseco con invierno seco. Templado.
ANCASH,HUARAZ,INDEPENDENCIA,Lluvioso con oto
CAJAMARCA,CELENDIN,HUASMIN,Lluvioso con oto
CAJAMARCA,CHOTA,QUEROCOTO,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,YUNGAY,MANCOS,Lluvioso con oto
ANCASH,YUNGAY,RANRAHIRCA,Semiseco con oto
ANCASH,HUARAZ,COCHABAMBA,Semiseco con invierno seco. Templado.
ANCASH,HUARAZ,JANGAS,Lluvioso con oto
CAJAMARCA,CAJABAMBA,CAJABAMBA,Lluvioso con oto
CUSCO,CHUMBIVILCAS,LLUSCO,Lluvioso con oto
CUSCO,CHUMBIVILCAS,COLQUEMARCA,Lluvioso con oto
APURIMAC,GRAU,SANTA ROSA,Semiseco con invierno seco. Templado.
APURIMAC,AYMARAES,CAPAYA,Lluvioso con oto
APURIMAC,GRAU,VILCABAMBA,Semiseco con invierno seco. Templado.
APURIMAC,GRAU,MICAELA BASTIDAS,Lluvioso con oto
CAJAMARCA,CUTERVO,QUEROCOTILLO,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,LLAMA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
ANCASH,CARHUAZ,YUNGAR,Lluvioso con oto
PASCO,OXAPAMPA,PALCAZU,Lluvioso con humedad abundante todas las estaciones del a
HUANCAVELICA,ANGARAES,HUANCA-HUANCA,Lluvioso con oto
HUANCAVELICA,ACOBAMBA,ANTA,Semiseco con oto o e invierno secos. Frso.
CUSCO,PARURO,PARURO,Lluvioso con oto
CUSCO,PARURO,HUANOQUITE,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,Lluvioso con oto
CUSCO,QUISPICANCHI,URCOS,Semiseco con invierno seco. Templado.
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,Lluvioso con oto
CUSCO,PARURO,YAURISQUE,Lluvioso con oto
APURIMAC,GRAU,PATAYPAMPA,Lluvioso con oto
APURIMAC,AYMARAES,POCOHUANCA,Lluvioso con oto
APURIMAC,AYMARAES,YANACA,Lluvioso con oto
APURIMAC,AYMARAES,SAÑAYCA,Lluvioso con oto
APURIMAC,ANTABAMBA,PACHACONAS,Lluvioso con oto
APURIMAC,AYMARAES,SORAYA,Semiseco con invierno seco. Templado.
CUSCO,CHUMBIVILCAS,LIVITACA,Lluvioso con oto
APURIMAC,COTABAMBAS,HAQUIRA,Lluvioso con oto
APURIMAC,ANTABAMBA,EL ORO,Lluvioso con oto
APURIMAC,CHINCHEROS,HUACCANA,Semiseco con invierno seco. Templado.
AYACUCHO,LA MAR,ORONCCOY,Semiseco con invierno seco. Templado.
AYACUCHO,LA MAR,ANCO,Lluvioso con invierno seco. Templado.
AYACUCHO,LA MAR,CHILCAS,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,LA MAR,SAN MIGUEL,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CAJABAMBA,CONDEBAMBA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,KISHUARA,Lluvioso con oto
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,Semi rido con invierno y primavera secos. Calido.
PIURA,HUANCABAMBA,SONDORILLO,Semiseco con humedad abundante todas las estaciones del a
PIURA,HUANCABAMBA,SONDOR,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARAZ,TARICA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,CARHUAZ,PARIAHUANCA,Semiseco con invierno seco. Templado.
ANCASH,CARHUAZ,ANTA,Lluvioso con oto
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,CARHUAZ,ACOPAMPA,Semiseco con invierno seco. Templado.
ANCASH,CARHUAZ,TINCO,Semiseco con invierno seco. Templado.
ANCASH,CARHUAZ,MARCARA,Lluvioso con oto
ANCASH,CARHUAZ,ATAQUERO,Lluvioso con oto
HUANUCO,HUACAYBAMBA,PINRA,Lluvioso con oto
ANCASH,HUAYLAS,SANTA CRUZ,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,Lluvioso con oto
PASCO,OXAPAMPA,VILLA RICA,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,PALLASCA,LACABAMBA,Lluvioso con oto
LA LIBERTAD,PATAZ,TAURIJA,Lluvioso con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,VILCABAMBA,Lluvioso con invierno seco. Templado.
LA LIBERTAD,OTUZCO,MACHE,Semiseco con invierno seco. Templado.
ANCASH,SIHUAS,ACOBAMBA,Lluvioso con oto
ANCASH,SIHUAS,SICSIBAMBA,Lluvioso con oto
ANCASH,SIHUAS,CASHAPAMPA,Lluvioso con oto
LA LIBERTAD,PATAZ,HUANCASPATA,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,SIHUAS,QUICHES,Lluvioso con oto
ANCASH,SIHUAS,CHINGALPO,Lluvioso con oto
ANCASH,PALLASCA,HUACASCHUQUE,Lluvioso con oto
ANCASH,PALLASCA,HUANDOVAL,Lluvioso con oto
LA LIBERTAD,PATAZ,URPAY,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,PUCARA,Semiseco con invierno seco. Templado.
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,LLAMA,Lluvioso con oto
ANCASH,POMABAMBA,HUAYLLAN,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,Lluvioso con oto
ANCASH,HUAYLAS,HUAYLAS,Semiseco con invierno seco. Templado.
ANCASH,MARISCAL LUZURIAGA,MUSGA,Lluvioso con oto
ANCASH,RECUAY,PAMPAS CHICO,Lluvioso con oto
ANCASH,BOLOGNESI,HUASTA,Lluvioso con oto
ANCASH,RECUAY,MARCA,Lluvioso con oto
CAJAMARCA,JAEN,SALLIQUE,Lluvioso con humedad abundante todas las estaciones del a
APURIMAC,ANTABAMBA,HUAQUIRCA,Lluvioso con oto
CUSCO,CHUMBIVILCAS,QUIÑOTA,Lluvioso con oto
APURIMAC,ANTABAMBA,SABAINO,Lluvioso con oto
APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,Lluvioso con oto
CUSCO,CHUMBIVILCAS,SANTO TOMAS,Lluvioso con oto
APURIMAC,AYMARAES,COTARUSE,Lluvioso con oto
APURIMAC,ANTABAMBA,ANTABAMBA,Lluvioso con oto
APURIMAC,AYMARAES,CARAYBAMBA,Lluvioso con oto
CUSCO,PARURO,OMACHA,Lluvioso con oto
APURIMAC,AYMARAES,IHUAYLLO,Semiseco con invierno seco. Templado.
APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,Semiseco con invierno seco. Templado.
APURIMAC,AYMARAES,TAPAIRIHUA,Lluvioso con oto
APURIMAC,GRAU,CURASCO,Lluvioso con oto
APURIMAC,GRAU,PROGRESO,Lluvioso con oto
APURIMAC,GRAU,CHUQUIBAMBILLA,Lluvioso con oto
APURIMAC,ANTABAMBA,OROPESA,Lluvioso con oto
APURIMAC,AYMARAES,CHALHUANCA,Lluvioso con oto
APURIMAC,GRAU,MAMARA,Lluvioso con oto
APURIMAC,GRAU,TURPAY,Lluvioso con oto
APURIMAC,GRAU,SAN ANTONIO,Lluvioso con oto
CUSCO,ACOMAYO,POMACANCHI,Lluvioso con oto
CUSCO,CHUMBIVILCAS,CAPACMARCA,Lluvioso con oto
APURIMAC,AYMARAES,TORAYA,Lluvioso con oto
APURIMAC,AYMARAES,CHAPIMARCA,Lluvioso con oto
APURIMAC,GRAU,GAMARRA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,Lluvioso con oto
APURIMAC,COTABAMBAS,TAMBOBAMBA,Lluvioso con oto
CUSCO,QUISPICANCHI,QUIQUIJANA,Lluvioso con oto
CUSCO,ACOMAYO,RONDOCAN,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,HUANCARAY,Lluvioso con oto
CUSCO,PARURO,PACCARITAMBO,Lluvioso con oto
APURIMAC,ABANCAY,LAMBRAMA,Lluvioso con oto
APURIMAC,AYMARAES,COLCABAMBA,Lluvioso con oto
CUSCO,PARURO,PILLPINTO,Lluvioso con oto
CUSCO,PARURO,ACCHA,Lluvioso con oto
APURIMAC,COTABAMBAS,MARA,Lluvioso con oto
APURIMAC,GRAU,HUAYLLATI,Lluvioso con oto
APURIMAC,ABANCAY,CHACOCHE,Lluvioso con oto
APURIMAC,GRAU,CURPAHUASI,Lluvioso con oto
CUSCO,ACOMAYO,ACOS,Lluvioso con oto
CUSCO,ACOMAYO,ACOMAYO,Lluvioso con oto
APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,Lluvioso con oto
APURIMAC,AYMARAES,LUCRE,Lluvioso con oto
CUSCO,PARURO,COLCHA,Lluvioso con oto
APURIMAC,AYMARAES,TINTAY,Semiseco con invierno seco. Templado.
APURIMAC,ABANCAY,CIRCA,Lluvioso con oto
APURIMAC,COTABAMBAS,COYLLURQUI,Lluvioso con oto
CUSCO,PARURO,CCAPI,Lluvioso con oto
CUSCO,QUISPICANCHI,HUARO,Lluvioso con oto
APURIMAC,ABANCAY,PICHIRHUA,Semiseco con invierno seco. Templado.
APURIMAC,COTABAMBAS,COTABAMBAS,Lluvioso con oto
APURIMAC,CHINCHEROS,COCHARCAS,Semiseco con invierno seco. Templado.
APURIMAC,ABANCAY,ABANCAY,Lluvioso con oto
APURIMAC,ABANCAY,TAMBURCO,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,PACUCHA,Semiseco con humedad abundante todas las estaciones del a
CUSCO,CUSCO,CCORCA,Lluvioso con oto
HUANCAVELICA,ANGARAES,CALLANMARCA,Semiseco con oto o e invierno secos. Frso.
APURIMAC,CHINCHEROS,RANRACANCHA,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,TALAVERA,Semiseco con humedad abundante todas las estaciones del a
APURIMAC,ABANCAY,CURAHUASI,Lluvioso con oto
APURIMAC,CHINCHEROS,CHINCHEROS,Semiseco con invierno seco. Templado.
APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,Semiseco con invierno seco. Templado.
HUANCAVELICA,CASTROVIRREYNA,ARMA,Lluvioso con invierno seco. Freo.
CUSCO,LA CONVENCION,SANTA TERESA,Lluvioso con oto
CUSCO,ANTA,CHINCHAYPUJIO,Lluvioso con oto
APURIMAC,ANDAHUAYLAS,ANDARAPA,Semiseco con invierno seco. Templado.
APURIMAC,CHINCHEROS,ONGOY,Semiseco con invierno seco. Templado.
CUSCO,ANTA,MOLLEPATA,Semiseco con invierno seco. Templado.
CUSCO,ANTA,LIMATAMBO,Lluvioso con oto
AYACUCHO,SUCRE,HUACAÑA,Lluvioso con oto
AYACUCHO,HUANCA SANCOS,CARAPO,Lluvioso con oto
AYACUCHO,VILCAS HUAMAN,CARHUANCA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,Lluvioso con oto
AYACUCHO,VILCAS HUAMAN,HUAMBALPA,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,CANARIA,Lluvioso con oto
AYACUCHO,SUCRE,QUEROBAMBA,Lluvioso con oto
AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUANCA SANCOS,SACSAMARCA,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,HUALLA,Lluvioso con oto
AYACUCHO,HUANCA SANCOS,SANCOS,Semiseco con invierno seco. Frao.
APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,Semiseco con oto
APURIMAC,ANDAHUAYLAS,PACOBAMBA,Semiseco con invierno seco. Templado.
APURIMAC,ABANCAY,HUANIPACA,Semiseco con invierno seco. Templado.
APURIMAC,CHINCHEROS,OCOBAMBA,Semiseco con invierno seco. Templado.
HUANCAVELICA,CASTROVIRREYNA,HUACHOS,Lluvioso con invierno seco. Freo.
HUANCAVELICA,TAYACAJA,SALCAHUASI,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,SURCUBAMBA,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,Semiseco con humedad abundante todas las estaciones del a
ANCASH,YUNGAY,CASCAPARA,Lluvioso con oto
ANCASH,YUNGAY,MATACOTO,Semiseco con oto
ANCASH,CARHUAZ,SHILLA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,HUAYLAS,PUEBLO LIBRE,Lluvioso con oto
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,LLUMPA,Lluvioso con oto
ANCASH,HUAYLAS,MATO,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,LUCMA,Lluvioso con oto
ANCASH,YUNGAY,YANAMA,Lluvioso con oto
ANCASH,RECUAY,HUAYLLAPAMPA,Semiseco con invierno seco. Templado.
CAJAMARCA,SAN PABLO,SAN PABLO,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,SAN GREGORIO,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,SAN MIGUEL,EL PRADO,Lluvioso con oto
CAJAMARCA,CELENDIN,OXAMARCA,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,MARCABAL,Lluvioso con oto
CAJAMARCA,CONTUMAZA,CHILETE,Semiseco con invierno seco. Templado.
CAJAMARCA,CAJAMARCA,JESUS,Lluvioso con oto
CAJAMARCA,CONTUMAZA,TANTARICA,Lluvioso con invierno seco. Templado.
CAJAMARCA,CONTUMAZA,YONAN,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,CAJAMARCA,MAGDALENA,Semiseco con invierno seco. Templado.
CAJAMARCA,SAN PABLO,SAN BERNARDINO,Semiseco con invierno seco. Templado.
CAJAMARCA,SAN PABLO,SAN LUIS,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,CONTUMAZA,GUZMANGO,Lluvioso con invierno seco. Templado.
CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,Semiseco con invierno seco. Templado.
CAJAMARCA,CAJAMARCA,ASUNCION,Lluvioso con oto
CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CAJAMARCA,MATARA,Lluvioso con oto
CAJAMARCA,CAJAMARCA,SAN JUAN,Lluvioso con oto
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,Lluvioso con oto
LA LIBERTAD,PATAZ,CHILLIA,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,Lluvioso con oto
LA LIBERTAD,JULCAN,CALAMARCA,Lluvioso con oto
ANCASH,PALLASCA,CONCHUCOS,Lluvioso con oto
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA,Lluvioso con oto
CAJAMARCA,SAN MARCOS,CHANCAY,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CAJABAMBA,CACHACHI,Lluvioso con oto
ANCASH,AIJA,AIJA,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,NANCHOC,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,CELENDIN,SOROCHUCO,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,CARHUAZ,CARHUAZ,Lluvioso con oto
ANCASH,CARHUAZ,AMASHCA,Semiseco con oto
ANCASH,YUNGAY,SHUPLUY,Lluvioso con oto
ANCASH,HUARAZ,HUARAZ,Lluvioso con oto
CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,Semiseco con invierno seco. Templado.
ANCASH,RECUAY,LLACLLIN,Semiseco con invierno seco. Templado.
CAJAMARCA,SAN MIGUEL,BOLIVAR,Erido con deficiencia de humedad en todas las estaciones del aoo. Templado.
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,Lluvioso con oto
CAJAMARCA,CELENDIN,SUCRE,Lluvioso con oto
ANCASH,BOLOGNESI,HUAYLLACAYAN,Lluvioso con oto
ANCASH,SIHUAS,ALFONSO UGARTE,Lluvioso con oto
ANCASH,SIHUAS,HUAYLLABAMBA,Lluvioso con oto
ANCASH,CORONGO,CUSCA,Lluvioso con oto
LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,SIHUAS,RAGASH,Lluvioso con oto
ANCASH,HUAYLAS,SANTO TORIBIO,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,CASCA,Lluvioso con oto
HUANUCO,HUACAYBAMBA,CANCHABAMBA,Lluvioso con oto
HUANUCO,MARAÑON,SAN BUENAVENTURA,Lluvioso con oto
ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,Lluvioso con oto
ANCASH,POMABAMBA,POMABAMBA,Lluvioso con oto
ANCASH,POMABAMBA,QUINUABAMBA,Lluvioso con oto
ANCASH,SIHUAS,SAN JUAN,Lluvioso con oto
LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,Lluvioso con oto
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,Lluvioso con oto
LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,Lluvioso con oto
CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CELENDIN,UTCO,Semiseco con invierno seco. Templado.
CAJAMARCA,SAN MIGUEL,LLAPA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,Lluvioso con oto
CAJAMARCA,JAEN,COLASAY,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CELENDIN,CELENDIN,Lluvioso con oto
CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,Lluvioso con oto
CAJAMARCA,SANTA CRUZ,SEXI,Semiseco con humedad abundante todas las estaciones del a
PIURA,HUANCABAMBA,HUANCABAMBA,Lluvioso con humedad abundante todas las estaciones del a
LAMBAYEQUE,LAMBAYEQUE,OLMOS,Erido con deficiencia de humedad en todas las estaciones del aeo. Celido.
HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,Lluvioso con oto
HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,VICTOR FAJARDO,SARHUA,Lluvioso con oto
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,Semiseco con oto숬o e invierno secos. Fr⤪o.
AYACUCHO,VICTOR FAJARDO,VILCANCHOS,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,ALCAMENCA,Semiseco con invierno seco. Templado.
AYACUCHO,LUCANAS,CHIPAO,Lluvioso con oto
AYACUCHO,LUCANAS,CABANA,Semiseco con invierno seco. Frao.
AYACUCHO,LUCANAS,CARMEN SALCEDO,Semiseco con invierno seco. Frao.
AYACUCHO,VICTOR FAJARDO,ASQUIPATA,Semiseco con invierno seco. Templado.
AYACUCHO,LUCANAS,AUCARA,Semiseco con invierno seco. Frao.
AYACUCHO,SUCRE,MORCOLLA,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,APONGO,Lluvioso con oto
AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,Semiseco con invierno seco. Templado.
AYACUCHO,VILCAS HUAMAN,ACCOMARCA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,SUCRE,BELEN,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,VICTOR FAJARDO,CAYARA,Semiseco con invierno seco. Templado.
AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,Lluvioso con oto
AYACUCHO,VICTOR FAJARDO,COLCA,Semiseco con invierno seco. Templado.
AYACUCHO,VILCAS HUAMAN,SAURAMA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,VICTOR FAJARDO,HUANCAPI,Lluvioso con oto
AYACUCHO,CANGALLO,TOTOS,Lluvioso con oto
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,Semiseco con oto숬o e invierno secos. Fr⤪o.
AYACUCHO,CANGALLO,CANGALLO,Semiseco con oto
AYACUCHO,VILCAS HUAMAN,CONCEPCION,Semiseco con invierno seco. Templado.
AYACUCHO,VILCAS HUAMAN,VISCHONGO,Lluvioso con oto
AYACUCHO,CANGALLO,LOS MOROCHUCOS,Semiseco con oto숬o e invierno secos. Fr⤪o.
AYACUCHO,CANGALLO,CHUSCHI,Lluvioso con oto
AYACUCHO,CANGALLO,PARAS,Lluvioso con oto
AYACUCHO,HUAMANGA,OCROS,Semiseco con invierno seco. Templado.
AYACUCHO,LA MAR,LUIS CARRANZA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,VINCHOS,Lluvioso con oto
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,Semiseco con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,INKAWASI,Semiseco con invierno seco. Templado.
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,TAYACAJA,ROBLE,Semiseco con humedad abundante todas las estaciones del a
APURIMAC,CHINCHEROS,ROCCHACC,Semiseco con humedad abundante todas las estaciones del a
APURIMAC,CHINCHEROS,EL PORVENIR,Semiseco con invierno seco. Templado.
AYACUCHO,LA MAR,CHUNGUI,Lluvioso con oto
APURIMAC,CHINCHEROS,LOS CHANKAS,Semiseco con invierno seco. Templado.
HUANUCO,PUERTO INCA,CODO DEL POZUZO,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,PUERTO INCA,TOURNAVISTA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,PADRE ABAD,PADRE ABAD,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,PUERTO INCA,PUERTO INCA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,UCAYALI,CONTAMANA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUAMALIES,ARANCAY,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUACAYBAMBA,COCHABAMBA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,YAROWILCA,APARICIO POMARES,Lluvioso con oto
HUANUCO,DOS DE MAYO,YANAS,Lluvioso con oto
HUANUCO,AMBO,AMBO,Lluvioso con oto
HUANUCO,DOS DE MAYO,QUIVILLA,Lluvioso con oto
ANCASH,HUARI,PAUCAS,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
PUNO,CARABAYA,OLLACHEA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
HUANUCO,YAROWILCA,CAHUAC,Lluvioso con oto
HUANUCO,DOS DE MAYO,LA UNION,Lluvioso con oto
HUANUCO,YAROWILCA,OBAS,Lluvioso con oto
HUANUCO,DOS DE MAYO,CHUQUIS,Lluvioso con oto
HUANUCO,DOS DE MAYO,PACHAS,Lluvioso con oto
HUANUCO,HUAMALIES,PUNCHAO,Lluvioso con oto
ANCASH,HUARI,SAN PEDRO DE CHANA,Lluvioso con oto
HUANUCO,HUAMALIES,MIRAFLORES,Lluvioso con oto
HUANUCO,HUANUCO,CHINCHAO,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,PACHITEA,CHAGLLA,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,CORONEL PORTILLO,IPARIA,Lluvioso con humedad abundante todas las estaciones del a
PASCO,OXAPAMPA,CONSTITUCION,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,PUERTO INCA,YUYAPICHIS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,BALSAS,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,TRES UNIDOS,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,CUTERVO,Lluvioso con oto
SAN MARTIN,EL DORADO,SAN MARTIN,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,PROVIDENCIA,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,COLCAMAR,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARI,UCO,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUAMALIES,JIRCAN,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARI,HUACCHIS,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
CAJAMARCA,JAEN,SANTA ROSA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,PISUQUIA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,CARABAYA,COASA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,LAMUD,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MARISCAL CACERES,HUICUNGO,Lluvioso con humedad abundante todas las estaciones del a
